Fecha;Nuquí sur CHIRPS;Nuquí sur TRMM;Nuquí centro CHIRPS;Nuquí centro TRMM;Nuquí norte CHIRPS;Nuquí norte TRMM;Bahía Solano sur CHIRPS;Bahía Solano sur TRMM;Bahía Solano centro CHIRPS;Bahía Solano centro TRMM;Bahía Solano norte CHIRPS;Bahía Solano norte TRMM
21/06/1981;0,00;;4,79;;4,44;;4,15;;4,23;;8,35;
22/06/1981;4,30;;4,79;;0,00;;0,00;;9,21;;0,00;
23/06/1981;12,89;;19,16;;17,77;;16,58;;10,33;;12,53;
24/06/1981;4,91;;10,95;;5,08;;4,74;;0,00;;0,00;
25/06/1981;17,18;;14,37;;22,22;;20,73;;9,45;;16,71;
26/06/1981;6,48;;0,00;;9,73;;0,00;;10,44;;11,36;
27/06/1981;12,85;;52,21;;6,95;;32,29;;29,82;;32,47;
28/06/1981;10,94;;18,27;;14,41;;22,61;;15,66;;17,04;
29/06/1981;22,86;;27,41;;41,47;;16,95;;10,44;;17,04;
30/06/1981;16,45;;0,00;;10,71;;0,00;;0,00;;0,00;
01/07/1981;0,00;;9,99;;0,00;;0,00;;0,00;;0,00;
02/07/1981;15,33;;9,99;;22,96;;12,18;;36,33;;29,52;
03/07/1981;15,33;;19,99;;11,48;;12,18;;12,11;;19,68;
04/07/1981;15,33;;29,98;;45,93;;36,54;;36,33;;29,52;
05/07/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
06/07/1981;9,20;;0,00;;0,00;;0,00;;0,00;;0,00;
07/07/1981;9,20;;12,49;;10,04;;0,00;;9,16;;7,56;
08/07/1981;55,22;;37,48;;30,13;;24,92;;27,49;;25,92;
09/07/1981;18,41;;37,48;;40,18;;33,23;;45,82;;37,81;
10/07/1981;0,00;;0,00;;10,04;;16,62;;9,16;;22,68;
11/07/1981;7,41;;16,92;;0,00;;0,00;;11,38;;5,77;
12/07/1981;33,87;;38,68;;19,71;;23,49;;26,02;;19,79;
13/07/1981;22,22;;25,39;;25,87;;20,55;;17,08;;17,32;
14/07/1981;0,00;;8,46;;0,00;;0,00;;0,00;;0,00;
15/07/1981;14,82;;33,85;;25,87;;20,55;;11,38;;0,00;
16/07/1981;7,55;;8,82;;28,55;;22,25;;18,83;;15,42;
17/07/1981;22,66;;35,29;;47,58;;29,67;;25,10;;25,70;
18/07/1981;7,55;;8,82;;0,00;;7,42;;0,00;;5,14;
19/07/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
20/07/1981;15,11;;26,47;;28,55;;22,25;;18,83;;10,28;
21/07/1981;7,91;;0,00;;0,00;;0,00;;5,94;;0,00;
22/07/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
23/07/1981;0,00;;0,00;;0,00;;0,00;;5,94;;11,70;
24/07/1981;18,07;;33,97;;23,83;;17,90;;17,82;;17,55;
25/07/1981;7,91;;0,00;;0,00;;0,00;;0,00;;0,00;
26/07/1981;18,09;;18,37;;14,15;;9,90;;10,47;;10,13;
27/07/1981;18,09;;12,25;;4,72;;3,30;;6,98;;6,75;
28/07/1981;30,14;;42,86;;28,29;;19,80;;24,42;;20,26;
29/07/1981;6,03;;6,12;;4,72;;0,00;;0,00;;0,00;
30/07/1981;0,00;;0,00;;0,00;;0,00;;0,00;;3,38;
31/07/1981;6,03;;0,00;;4,72;;6,60;;3,49;;0,00;
01/08/1981;0,00;;7,02;;0,00;;7,72;;10,71;;10,29;
02/08/1981;36,81;;42,15;;49,09;;46,31;;16,06;;10,29;
03/08/1981;6,13;;7,02;;8,18;;0,00;;21,42;;25,72;
04/08/1981;0,00;;0,00;;0,00;;0,00;;0,00;;5,14;
05/08/1981;12,27;;14,05;;16,36;;15,44;;10,71;;5,14;
06/08/1981;27,48;;43,21;;59,92;;25,23;;10,04;;11,93;
07/08/1981;13,74;;28,81;;29,96;;25,23;;20,09;;11,93;
08/08/1981;0,00;;14,40;;0,00;;0,00;;10,04;;5,96;
09/08/1981;47,11;;16,46;;34,24;;63,06;;40,18;;27,26;
10/08/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
11/08/1981;24,31;;30,86;;33,08;;25,48;;18,75;;15,31;
12/08/1981;18,23;;30,86;;49,62;;38,22;;25,00;;33,48;
13/08/1981;18,23;;23,15;;16,54;;19,11;;12,50;;13,39;
14/08/1981;6,08;;15,43;;8,27;;6,37;;6,25;;13,39;
15/08/1981;6,95;;0,00;;0,00;;0,00;;0,00;;0,00;
16/08/1981;9,30;;0,00;;0,00;;0,00;;10,42;;0,00;
17/08/1981;27,90;;21,10;;42,18;;30,85;;20,85;;28,61;
18/08/1981;0,00;;10,55;;14,06;;10,28;;20,85;;19,08;
19/08/1981;18,60;;21,10;;14,06;;20,57;;10,42;;9,54;
20/08/1981;10,63;;24,11;;0,00;;11,75;;11,91;;10,90;
21/08/1981;8,73;;56,49;;69,13;;30,22;;38,95;;41,16;
22/08/1981;16,18;;0,00;;0,00;;0,00;;9,74;;0,00;
23/08/1981;54,66;;70,61;;69,13;;50,36;;48,68;;34,30;
24/08/1981;13,68;;0,00;;0,00;;0,00;;0,00;;0,00;
25/08/1981;12,89;;0,00;;0,00;;20,14;;0,00;;0,00;
26/08/1981;25,34;;0,00;;0,00;;11,08;;11,58;;19,93;
27/08/1981;0,00;;0,00;;17,62;;11,08;;11,58;;9,97;
28/08/1981;25,34;;36,87;;52,85;;44,33;;11,58;;39,87;
29/08/1981;50,67;;73,75;;70,47;;44,33;;57,90;;59,80;
30/08/1981;25,34;;55,31;;52,85;;22,16;;34,74;;19,93;
31/08/1981;25,34;;18,44;;17,62;;11,08;;0,00;;0,00;
01/09/1981;0,00;;0,00;;0,00;;0,00;;0,00;;5,57;
02/09/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
03/09/1981;14,68;;31,94;;41,88;;25,13;;17,18;;11,13;
04/09/1981;9,79;;15,97;;16,75;;21,99;;11,45;;11,13;
05/09/1981;9,79;;7,99;;16,75;;14,66;;17,18;;11,13;
06/09/1981;8,33;;26,17;;28,01;;23,32;;26,15;;13,45;
07/09/1981;0,00;;8,72;;9,34;;7,77;;0,00;;0,00;
08/09/1981;33,32;;34,90;;37,35;;23,32;;19,61;;11,77;
09/09/1981;0,00;;0,00;;9,34;;7,77;;6,54;;5,89;
10/09/1981;8,33;;17,45;;0,00;;0,00;;13,08;;11,77;
11/09/1981;0,00;;0,00;;0,00;;8,73;;0,00;;16,25;
